Time_ms; Pressure_Pa; Floor_Marker
8367; 100920.11;1
8417; 100920.98;1
8468; 100920.47;1
8519; 100919.84;1
8570; 100919.77;1
8621; 100919.03;1
8672; 100920.14;1
8723; 100920.27;1
8774; 100920.64;1
8825; 100921.13;1
8876; 100919.70;1
8927; 100919.09;1
8978; 100919.88;1
9029; 100920.58;1
9080; 100919.70;1
9131; 100919.09;1
9182; 100920.08;1
9233; 100921.00;1
9284; 100919.80;1
9335; 100920.30;1
9386; 100920.80;1
9437; 100920.19;1
9488; 100920.11;1
9539; 100919.39;1
9590; 100919.63;1
9641; 100919.52;1
9692; 100921.17;1
9743; 100920.67;1
9794; 100919.38;1
9845; 100920.75;1
9896; 100920.81;1
9947; 100921.36;1
9998; 100921.13;1
10049; 100920.48;1
10100; 100919.56;1
10151; 100920.22;1
10202; 100920.64;1
10253; 100921.63;1
10304; 100920.84;1
10355; 100919.89;1
10406; 100920.59;1
10457; 100920.64;1
10508; 100920.25;1
10559; 100920.98;1
10610; 100921.05;1
10661; 100919.81;1
10712; 100920.31;1
10763; 100920.55;1
10814; 100919.36;1
10865; 100920.33;1
10916; 100920.92;1
10967; 100921.08;1
11018; 100918.81;1
11069; 100920.88;1
11120; 100921.39;1
11171; 100920.00;1
11222; 100920.44;0
11273; 100920.09;0
11324; 100921.63;0
11375; 100919.86;0
11426; 100920.28;0
11477; 100921.00;0
11528; 100919.89;0
11579; 100920.56;0
11630; 100920.20;0
11681; 100920.17;0
11732; 100919.28;0
11783; 100920.17;0
11834; 100919.78;0
11885; 100920.44;0
11936; 100920.31;0
11987; 100921.94;0
12038; 100920.78;0
12089; 100920.97;0
12140; 100920.81;0
12191; 100920.06;0
12242; 100919.50;0
12293; 100921.06;0
12344; 100920.13;0
12395; 100920.38;0
12446; 100920.42;0
12497; 100921.14;0
12548; 100919.55;0
12599; 100919.39;0
12650; 100921.98;0
12701; 100920.03;0
12752; 100919.44;0
12803; 100920.22;0
12854; 100921.50;0
12905; 100921.13;0
12956; 100920.94;0
13007; 100919.61;0
13058; 100920.41;0
13109; 100919.47;0
13160; 100919.52;0
13211; 100920.77;0
13262; 100920.23;0
13313; 100920.50;0
13364; 100921.14;0
13415; 100919.91;0
13466; 100920.19;0
13517; 100920.97;0
13568; 100919.73;0
13619; 100921.20;0
13670; 100920.17;0
13721; 100921.05;0
13772; 100919.89;0
13823; 100921.34;0
13874; 100920.91;0
13925; 100921.56;0
13976; 100920.64;0
14027; 100920.83;0
14078; 100922.52;0
14129; 100922.06;0
14180; 100920.42;0
14231; 100920.53;0
14282; 100920.52;0
14333; 100921.27;0
14384; 100920.95;0
14435; 100919.06;0
14486; 100920.41;0
14537; 100920.89;0
14588; 100920.25;0
14639; 100920.56;0
14690; 100922.09;0
14741; 100921.52;0
14792; 100920.75;0
14843; 100920.92;0
14894; 100920.36;0
14945; 100919.75;0
14996; 100921.13;0
15047; 100921.11;0
15098; 100919.89;0
15149; 100920.20;0
15200; 100919.70;0
15251; 100919.33;0
15302; 100921.53;0
15353; 100921.78;0
15404; 100919.80;0
15455; 100919.69;0
15506; 100920.23;0
15557; 100919.69;0
15608; 100920.17;0
15659; 100920.25;0
15710; 100920.88;0
15761; 100920.92;0
15812; 100920.66;0
15863; 100918.44;0
15914; 100920.72;0
15965; 100920.38;0
16016; 100918.89;0
16067; 100920.81;0
16118; 100919.78;0
16169; 100920.73;0
16220; 100920.13;0
16271; 100921.30;0
16322; 100919.66;0
16373; 100920.11;0
16424; 100920.47;0
16475; 100919.56;0
16526; 100921.28;0
16577; 100919.45;0
16628; 100921.77;0
16679; 100919.73;0
16730; 100920.72;0
16781; 100920.25;0
16832; 100918.78;0
16883; 100918.92;0
16934; 100921.33;0
16985; 100919.92;0
17036; 100919.13;0
17087; 100921.39;0
17138; 100920.20;0
17189; 100918.02;0
17240; 100921.55;0
17291; 100920.55;0
17342; 100919.59;0
17393; 100921.11;0
17444; 100920.58;0
17495; 100920.80;0
17546; 100920.30;0
17597; 100919.69;0
17648; 100920.28;0
17699; 100920.75;0
17750; 100919.36;0
17801; 100920.80;0
17852; 100921.16;0
17903; 100920.67;0
17954; 100920.98;0
18005; 100920.63;0
18056; 100922.14;0
18107; 100919.36;0
18158; 100919.45;0
18209; 100920.16;0
18260; 100920.69;0
18311; 100919.91;0
18362; 100919.05;0
18413; 100919.95;0
18464; 100920.08;0
18515; 100920.16;0
18566; 100919.11;0
18617; 100919.70;0
18668; 100920.98;0
18719; 100919.31;0
18770; 100920.81;0
18821; 100920.80;0
18872; 100920.94;0
18923; 100919.16;0
18974; 100919.25;0
19025; 100921.14;0
19076; 100918.91;0
19127; 100919.80;0
19178; 100920.59;0
19229; 100920.52;0
19280; 100920.44;0
19331; 100920.89;0
19382; 100921.66;0
19433; 100920.39;0
19484; 100920.53;0
19535; 100918.83;0
19586; 100920.48;0
19637; 100920.73;0
19688; 100920.83;0
19739; 100919.41;0
19790; 100919.23;0
19841; 100919.55;0
19892; 100919.77;0
19943; 100920.25;0
19994; 100918.83;0
20045; 100920.50;0
20096; 100919.72;0
20147; 100920.16;0
20198; 100919.64;0
20249; 100920.75;0
20300; 100918.70;0
20351; 100920.36;0
20402; 100920.05;0
20453; 100920.61;0
20504; 100920.67;0
20555; 100920.47;0
20606; 100920.64;0
20657; 100919.48;0
20708; 100918.92;0
20759; 100921.27;0
20810; 100920.22;0
20861; 100920.38;0
20912; 100920.38;0
20963; 100920.95;0
21014; 100920.95;0
21065; 100921.13;0
21116; 100921.22;0
21167; 100920.30;0
21218; 100920.94;0
21269; 100921.75;0
21320; 100921.41;0
21371; 100922.09;0
21422; 100922.08;0
21473; 100923.08;0
21524; 100922.84;0
21575; 100923.41;0
21626; 100923.08;0
21677; 100921.88;0
21728; 100924.23;0
21779; 100924.52;0
21830; 100923.44;0
21881; 100922.67;0
21932; 100924.70;0
21983; 100925.47;0
22034; 100924.67;0
22085; 100925.00;0
22136; 100925.31;0
22187; 100925.53;0
22238; 100926.91;0
22289; 100926.09;0
22340; 100926.81;0
22391; 100926.64;0
22442; 100927.42;0
22493; 100926.61;0
22544; 100928.69;0
22595; 100927.42;0
22646; 100929.13;0
22697; 100929.30;0
22748; 100930.59;0
22799; 100930.59;0
22850; 100930.28;0
22901; 100930.33;0
22952; 100930.53;0
23003; 100932.95;0
23054; 100933.02;0
23105; 100933.13;0
23156; 100934.28;0
23207; 100933.88;0
23258; 100934.69;0
23309; 100935.25;0
23360; 100936.11;0
23411; 100935.59;0
23462; 100937.97;0
23513; 100937.36;0
23564; 100938.45;0
23615; 100939.73;0
23666; 100939.02;0
23717; 100938.98;0
23768; 100940.61;0
23819; 100940.73;0
23870; 100943.17;0
23921; 100943.73;0
23972; 100943.69;0
24023; 100942.48;0
24074; 100943.94;0
24125; 100945.92;0
24176; 100945.47;0
24227; 100948.02;0
24278; 100947.92;0
24329; 100947.78;0
24380; 100947.14;0
24431; 100948.86;0
24482; 100949.27;0
24533; 100951.91;0
24584; 100950.31;0
24635; 100949.55;0
24686; 100952.48;0
24737; 100952.38;0
24788; 100953.61;0
24839; 100953.72;0
24890; 100953.94;0
24941; 100955.63;0
24992; 100956.31;0
25043; 100957.56;0
25094; 100956.97;0
25145; 100957.11;0
25196; 100957.47;0
25247; 100960.03;0
25298; 100960.08;0
25349; 100958.66;0
25400; 100958.77;0
25451; 100961.17;0
25502; 100962.11;0
25553; 100962.53;0
25604; 100963.88;0
25655; 100961.83;0
25706; 100964.22;0
25757; 100965.28;0
25808; 100964.83;0
25859; 100965.70;0
25910; 100967.17;0
25961; 100967.73;0
26012; 100968.16;0
26063; 100967.69;0
26114; 100969.31;0
26165; 100969.67;0
26216; 100970.86;0
26267; 100969.72;0
26318; 100972.16;0
26369; 100972.33;0
26420; 100972.69;0
26471; 100974.19;0
26522; 100974.73;0
26573; 100974.47;0
26624; 100976.63;0
26675; 100974.72;0
26726; 100977.03;0
26777; 100976.97;0
26828; 100978.95;0
26879; 100980.22;0
26930; 100978.42;0
26981; 100981.20;0
