Time_ms;Pressure_Pa;Pressure_dPaPerSec;AccelX_mg;AccelY_mg;AccelZ_mg;GyroX_dps;GyroY_dps;GyroZ_dps;IMU_Moving
4551;102153.92;0.000;-70.31;-96.19;1074.22;4.15;2.34;1.51;1
4653;102154.72;7.812;-48.83;-100.10;968.26;-0.36;-0.66;-0.62;0
4755;102154.06;-6.434;-45.41;-70.80;989.26;-1.11;0.97;-1.73;0
4857;102153.73;-3.217;-62.50;-68.36;1015.62;-1.29;-0.76;-2.36;0
4959;102155.84;20.680;-53.22;-71.29;991.21;0.42;-0.73;-0.94;0
5061;102153.38;-24.203;-63.48;-74.71;1004.39;0.02;-0.42;-0.40;0
5163;102154.67;12.714;-58.59;-86.91;984.37;-0.44;0.06;1.01;0
5265;102154.56;-1.072;-60.55;-77.15;1004.39;2.47;1.02;-2.43;0
5367;102154.64;0.766;-53.22;-65.43;1023.44;-0.16;-0.96;-0.33;0
5469;102154.64;0.000;-50.29;-46.88;980.47;1.28;-1.73;-1.50;0
5571;102154.05;-5.821;-48.83;-67.87;979.49;1.18;-1.65;-1.23;0
5673;102154.48;4.289;-55.18;-81.54;995.61;2.15;2.06;1.07;0
5775;102152.69;-17.616;-53.71;-72.75;989.26;-0.06;0.57;0.31;0
5877;102153.08;3.830;-42.97;-65.92;992.68;0.44;-3.82;2.21;0
5979;102153.16;0.766;-55.66;-70.80;980.47;0.97;2.15;-0.44;0
6081;102154.13;9.498;-45.41;-75.20;1010.74;0.10;-0.79;-0.58;0
6183;102155.22;10.723;-60.06;-63.48;990.23;1.55;0.08;-3.38;0
6285;102151.70;-34.467;-60.55;-79.10;1000.49;2.45;0.47;-1.15;0
6387;102152.59;8.732;-51.27;-60.55;981.93;0.48;0.40;-2.62;0
6489;102154.89;22.518;-58.11;-74.22;1007.81;1.44;1.52;-0.98;0
6591;102153.36;-15.012;-48.83;-64.45;1004.88;0.37;0.85;2.31;0
6693;102154.19;8.119;-57.13;-99.61;982.42;-1.08;-2.53;-3.96;0
6795;102153.64;-5.362;-39.55;-73.73;987.79;-0.27;-1.18;-2.02;0
6897;102152.50;-11.183;-43.95;-83.50;999.02;2.21;3.47;0.77;0
6999;102153.03;5.208;-57.13;-79.10;1018.55;-0.02;-1.55;-2.21;0
7101;102154.44;13.787;-65.43;-76.17;998.05;1.47;1.14;0.44;0
7203;102153.91;-5.208;-51.27;-62.01;1005.37;1.65;1.14;-0.01;0
7305;102153.83;-0.766;-65.92;-71.29;1018.55;1.50;-1.21;-1.15;0
7407;102154.13;2.911;-54.69;-79.59;996.58;-0.76;-1.12;-0.08;0
7509;102153.23;-8.732;-51.76;-72.27;995.12;-0.19;1.11;-1.92;0
7611;102154.25;9.957;-71.78;-79.59;1006.84;0.22;-0.21;-1.76;0
7713;102154.19;-0.613;-50.78;-77.64;1008.79;1.09;-2.23;-1.03;0
7815;102153.47;-7.047;-68.85;-74.71;1011.23;-1.19;2.29;-2.21;0
7917;102155.31;18.076;-55.66;-75.20;1005.37;2.78;3.09;-1.98;0
8019;102154.06;-12.255;-62.01;-71.29;991.21;-0.05;-1.95;1.65;0
8121;102153.64;-4.136;-65.43;-80.08;1004.88;-0.06;-1.35;0.56;0
8223;102153.58;-0.613;-62.01;-80.08;1024.90;0.92;-1.60;-0.71;0
8325;102154.22;6.281;-47.85;-72.75;997.56;1.50;-0.91;-0.74;0
8427;102153.63;-5.821;-65.92;-83.01;999.02;1.13;0.19;-1.02;0
8529;102155.58;19.148;-65.92;-83.50;1014.65;0.93;1.37;-2.75;0
8631;102153.44;-20.987;-47.36;-70.31;1005.37;1.73;1.47;-0.49;0
8733;102154.59;11.336;-49.80;-64.45;992.68;2.76;0.83;2.03;0
8835;102153.20;-13.634;-54.20;-64.45;976.07;2.64;0.07;1.05;0
8937;102153.03;-1.685;-63.96;-71.78;1007.81;0.40;1.23;-2.34;0
9039;102153.77;7.200;-50.29;-83.98;1016.60;1.04;2.76;-3.17;0
9141;102153.47;-2.911;-59.08;-78.12;993.16;-0.30;-2.78;-0.38;0
9243;102152.69;-7.659;-50.78;-81.54;995.12;1.03;0.98;-1.06;0
9345;102153.75;10.417;-81.05;-74.22;980.96;0.08;-2.35;-0.31;0
9447;102153.39;-3.523;-51.76;-68.85;983.40;1.63;-2.34;-1.45;0
9549;102152.58;-7.966;-41.50;-72.75;949.22;1.82;-2.23;-2.89;1
9651;102153.06;4.749;-48.83;-71.29;965.33;0.20;-1.08;1.79;1
9753;102153.95;8.732;-55.66;-75.68;959.47;-0.33;1.66;-1.64;1
9855;102152.70;-12.255;-45.41;-77.15;958.98;1.46;-0.43;-2.56;1
9957;102152.94;2.298;-57.62;-70.80;963.87;-0.19;1.12;-0.59;1
10059;102152.61;-3.217;-58.11;-60.06;954.59;-0.63;-1.79;-3.92;1
10161;102151.97;-6.281;-51.76;-58.59;946.78;0.04;2.42;0.76;1
10263;102153.20;12.102;-40.53;-69.82;935.06;1.84;0.07;-1.32;1
10365;102153.84;6.281;-56.64;-65.43;936.52;0.37;0.27;-0.85;1
10467;102153.80;-0.460;-53.22;-66.41;963.87;0.58;0.89;0.53;1
10569;102154.61;7.966;-46.39;-59.08;936.52;0.08;1.81;-0.18;1
10671;102155.56;9.344;-60.06;-62.50;963.87;0.95;1.78;0.03;1
10773;102155.39;-1.685;-57.13;-81.54;939.94;0.18;-2.78;-0.85;1
10875;102155.64;2.451;-62.50;-60.06;938.48;2.15;3.14;-0.74;1
10977;102154.61;-10.110;-58.11;-56.64;944.34;1.37;-1.92;-0.80;1
11079;102156.20;15.625;-65.92;-79.59;962.89;0.82;3.04;-1.28;1
11181;102155.50;-6.893;-41.02;-57.62;942.87;1.73;3.68;0.88;1
11283;102157.47;19.301;-65.43;-63.96;992.19;0.90;1.40;1.18;0
