Time_ms;Pressure_Pa;Pressure_dPaPerSec;AccelX_mg;AccelY_mg;AccelZ_mg;GyroX_dps;GyroY_dps;GyroZ_dps;IMU_Moving
74494;100078.58;0.000;-13.18;-38.57;970.21;-12.85;-24.73;-8.72;1
74596;100078.61;0.306;41.50;-67.87;937.99;0.02;-14.57;5.47;1
74698;100080.64;19.914;91.80;-62.50;1039.06;3.36;10.79;10.10;1
74800;100080.20;-4.289;46.39;-66.41;1064.45;1.02;17.39;2.35;1
74902;100078.66;-15.165;-22.46;-27.34;979.49;-4.79;11.01;-19.92;1
75004;100079.84;11.642;174.32;-125.98;992.19;8.45;-3.78;-9.17;1
75106;100080.53;6.740;30.76;-60.06;946.29;9.08;-8.50;31.80;1
75208;100079.84;-6.740;42.48;-66.89;1102.05;7.75;-4.65;31.31;1
75310;100080.27;4.136;0.98;-50.78;995.61;-1.74;9.09;21.52;1
75412;100080.80;5.208;-2.93;-76.17;990.23;-1.11;1.13;19.52;1
75514;100078.78;-19.761;-49.80;-55.66;976.56;-1.82;3.26;14.62;1
75616;100080.50;16.850;-42.48;-39.55;989.26;-1.93;10.95;13.42;1
75718;100079.77;-7.200;-64.45;-46.39;1013.67;3.44;8.64;15.06;1
75820;100080.09;3.217;-52.25;-21.97;1010.25;2.48;-0.70;9.32;1
75922;100079.64;-4.442;-65.43;-2.44;991.21;-3.11;-0.04;2.34;0
76024;100080.73;10.723;-24.90;-31.74;950.68;-0.03;-0.37;-4.00;1
76126;100079.86;-8.578;-47.36;-82.52;964.36;-5.61;1.58;-7.87;1
76228;100079.61;-2.451;-69.34;-53.71;994.63;-4.38;2.65;-13.60;1
76330;100080.78;11.489;-62.01;-95.21;983.40;-5.99;2.33;-8.06;1
76432;100080.55;-2.298;-61.52;-63.48;987.30;-14.07;13.31;-16.08;1
76534;100080.97;4.136;14.16;-62.99;960.45;-16.48;45.85;-13.37;1
76636;100080.88;-0.919;-164.06;-106.93;916.50;8.45;22.37;-15.92;1
76738;100080.72;-1.532;-19.53;-194.82;1064.94;-1.68;23.65;-44.54;1
76840;100080.28;-4.289;-212.40;-171.39;841.80;21.85;28.92;-38.95;1
76942;100080.34;0.613;-116.70;-74.71;893.07;35.53;-8.84;-47.94;1
77044;100082.70;23.131;-202.15;-28.32;944.82;-17.53;-18.87;-36.32;1
77146;100082.05;-6.434;-155.27;-158.69;723.14;-11.76;-27.40;-26.93;1
77248;100083.08;10.110;-120.12;-106.45;955.08;28.97;-11.44;-26.06;1
77350;100083.77;6.740;-139.65;-80.57;922.85;12.95;-9.58;-22.97;1
77452;100083.11;-6.434;47.85;-21.48;932.13;21.54;-21.73;-31.93;1
77554;100084.80;16.544;243.16;-56.64;1084.47;4.91;-20.59;-5.92;1
77656;100085.45;6.434;102.05;-95.70;973.14;-5.02;-2.36;17.93;1
77758;100086.75;12.714;151.86;-96.19;1016.11;9.40;-29.76;-15.58;1
77860;100087.72;9.498;306.64;-152.34;1187.50;8.89;-8.40;-5.10;1
77962;100088.98;12.408;139.16;-88.87;1076.66;-39.12;2.03;11.49;1
78064;100088.17;-7.966;15.63;-202.15;1205.57;-11.11;-10.93;12.27;1
78166;100089.59;13.940;75.68;143.07;1244.14;-25.95;11.74;-10.88;1
78268;100089.11;-4.749;152.83;-189.94;928.22;1.19;21.97;-15.53;1
78370;100089.44;3.217;16.11;-71.29;991.70;-51.44;8.03;-19.81;1
78472;100090.83;13.634;164.06;-448.73;902.83;-10.68;6.60;-14.62;1
78574;100090.11;-7.047;-46.39;-296.87;1009.77;-14.83;8.62;17.83;1
