Time_ms; Pressure_Pa; Floor_Marker
17928; 99173.31;1
17979; 99173.16;1
18030; 99172.56;1
18081; 99173.72;1
18132; 99173.09;1
18183; 99172.88;1
18234; 99173.92;1
18285; 99173.83;1
18336; 99172.95;1
18387; 99173.06;1
18438; 99174.89;1
18489; 99173.08;1
18540; 99172.89;1
18591; 99173.45;1
18642; 99173.75;1
18693; 99173.11;1
18744; 99172.95;1
18795; 99173.95;1
18846; 99172.91;1
18897; 99173.83;1
18948; 99173.81;1
18999; 99172.39;1
19050; 99174.28;1
19101; 99173.11;1
19152; 99171.97;1
19203; 99173.94;1
19254; 99174.44;1
19305; 99172.55;1
19356; 99174.66;1
19407; 99173.39;1
19458; 99174.38;1
19509; 99173.63;1
19560; 99173.38;1
19611; 99173.14;1
19662; 99173.17;1
19713; 99172.33;1
19764; 99173.08;1
19815; 99173.44;1
19866; 99174.02;1
19917; 99172.59;1
19968; 99172.45;1
20019; 99173.56;1
20070; 99172.41;1
20121; 99174.44;1
20172; 99173.66;0
20223; 99174.45;1
20274; 99172.50;1
20325; 99173.13;1
20376; 99173.48;1
20427; 99174.30;1
20478; 99174.75;1
20529; 99172.92;1
20580; 99173.03;1
20631; 99172.80;1
20682; 99174.13;1
20733; 99173.92;1
20784; 99173.14;1
20835; 99173.78;1
20886; 99173.42;1
20937; 99172.28;1
20988; 99173.80;1
21039; 99173.00;1
21090; 99173.28;1
21141; 99173.14;1
21192; 99171.91;1
21243; 99173.34;1
21294; 99173.98;1
21345; 99173.75;1
21396; 99173.20;1
21447; 99173.67;1
21498; 99173.58;1
21549; 99173.02;1
21600; 99172.81;1
21651; 99173.14;1
21702; 99173.64;1
21753; 99174.42;0
21804; 99172.28;0
21855; 99172.92;0
21906; 99172.05;0
21957; 99173.38;0
22008; 99173.50;0
22059; 99174.80;0
22110; 99174.33;0
22161; 99174.38;0
22212; 99173.39;0
22263; 99173.92;0
22314; 99173.72;0
22365; 99174.55;0
22416; 99173.92;0
22467; 99173.23;0
22518; 99173.81;0
22569; 99174.30;0
22620; 99173.13;0
22671; 99173.63;0
22722; 99173.77;0
22773; 99174.83;0
22824; 99174.97;0
22875; 99173.52;0
22926; 99173.44;0
22977; 99174.50;0
23028; 99173.30;0
23079; 99174.30;0
23130; 99173.38;0
23181; 99174.17;0
23232; 99174.66;0
23283; 99174.66;0
23334; 99174.28;0
23385; 99173.67;0
23436; 99173.23;0
23487; 99174.11;0
23538; 99174.58;0
23589; 99172.81;0
23640; 99172.81;0
23691; 99172.25;0
23742; 99174.84;0
23793; 99174.56;0
23844; 99173.63;0
23895; 99174.08;0
23946; 99174.03;0
23997; 99173.70;0
24048; 99173.34;0
24099; 99174.36;0
24150; 99172.47;0
24201; 99174.13;0
24252; 99173.81;0
24303; 99172.34;0
24354; 99174.67;0
24405; 99171.92;0
24456; 99174.44;0
24507; 99174.63;0
24558; 99173.73;0
24609; 99172.81;0
24660; 99173.48;0
24711; 99172.94;0
24762; 99173.02;0
24813; 99173.14;0
24864; 99171.78;0
24915; 99173.14;0
24966; 99172.13;0
25017; 99173.06;0
25068; 99172.59;0
25119; 99172.89;0
25170; 99173.80;0
25221; 99171.16;0
25272; 99171.75;0
25323; 99171.98;0
25374; 99173.31;0
25425; 99172.73;0
25476; 99172.36;0
25527; 99173.42;0
25578; 99172.22;0
25629; 99172.44;0
25680; 99172.27;0
25731; 99173.14;0
25782; 99172.44;0
25833; 99172.27;0
25884; 99171.88;0
25935; 99171.77;0
25986; 99172.09;0
26037; 99171.75;0
26088; 99173.64;0
26139; 99172.86;0
26190; 99172.23;0
26241; 99171.78;0
26292; 99172.69;0
26343; 99174.53;0
26394; 99172.28;0
26445; 99173.14;0
26496; 99172.06;0
26547; 99173.27;0
26598; 99172.66;0
26649; 99172.86;0
26700; 99173.38;0
26751; 99171.67;0
26802; 99172.70;0
26853; 99172.53;0
26904; 99174.05;0
26955; 99172.45;0
27006; 99173.75;0
27057; 99173.63;0
27108; 99173.02;0
27159; 99171.88;0
27210; 99171.50;0
27261; 99173.09;0
27312; 99172.23;0
27363; 99172.61;0
27414; 99172.81;0
27465; 99173.06;0
27516; 99173.02;0
27567; 99173.05;0
27618; 99173.14;0
27669; 99172.20;0
27720; 99172.27;0
27771; 99172.30;0
27822; 99172.58;0
27873; 99172.59;0
27924; 99173.20;0
27975; 99172.81;0
28026; 99172.70;0
28077; 99173.64;0
28128; 99173.55;0
28179; 99172.95;0
28230; 99171.95;0
28281; 99173.64;0
28332; 99172.63;0
28383; 99171.91;0
28434; 99173.03;0
28485; 99173.98;0
28536; 99171.70;0
28587; 99172.03;0
28638; 99173.34;0
28689; 99172.28;0
28740; 99173.03;0
28791; 99171.66;0
28842; 99172.53;0
28893; 99173.53;0
28944; 99173.03;0
28995; 99171.55;0
29046; 99173.09;0
29097; 99172.50;0
29148; 99173.88;0
29199; 99172.52;0
29250; 99172.03;0
29301; 99172.50;0
29352; 99172.69;0
29403; 99172.92;0
29454; 99172.08;0
29505; 99171.36;0
29556; 99171.97;0
29607; 99172.59;0
29658; 99172.56;0
29709; 99172.58;0
29760; 99172.81;0
29811; 99172.83;0
29862; 99173.11;0
29913; 99171.70;0
29964; 99171.20;0
30015; 99171.91;0
30066; 99171.03;0
30117; 99170.77;0
30168; 99171.20;0
30219; 99168.70;0
30270; 99170.80;0
30321; 99169.20;0
30372; 99170.70;0
30423; 99169.34;0
30474; 99169.44;0
30525; 99168.11;0
30576; 99169.06;0
30627; 99168.03;0
30678; 99167.52;0
30729; 99167.33;0
30780; 99168.48;0
30831; 99166.23;0
30882; 99166.03;0
30933; 99164.81;0
30984; 99165.67;0
31035; 99165.92;0
31086; 99162.78;0
31137; 99162.42;0
31188; 99161.97;0
31239; 99163.44;0
31290; 99160.89;0
31341; 99160.69;0
31392; 99159.95;0
31443; 99159.09;0
31494; 99160.14;0
31545; 99158.03;0
31596; 99157.55;0
31647; 99156.48;0
31698; 99154.78;0
31749; 99154.34;0
31800; 99154.53;0
31851; 99154.00;0
31902; 99153.03;0
31953; 99152.34;0
32004; 99151.28;0
32055; 99151.03;0
32106; 99150.36;0
32157; 99151.20;0
32208; 99147.77;0
32259; 99148.55;0
32310; 99149.23;0
32361; 99148.23;0
32412; 99148.67;0
32463; 99147.30;0
32514; 99147.33;0
32565; 99145.67;0
32616; 99146.61;0
32667; 99145.70;0
32718; 99144.84;0
32769; 99144.91;0
32820; 99143.14;0
32871; 99144.19;0
32922; 99141.95;0
32973; 99142.55;0
33024; 99140.38;0
33075; 99141.28;0
33126; 99139.41;0
33177; 99140.08;0
33228; 99140.13;0
33279; 99138.94;0
33330; 99138.38;0
33381; 99137.47;0
33432; 99134.97;0
33483; 99135.45;0
33534; 99137.38;0
33585; 99135.66;0
33636; 99136.52;0
33687; 99134.55;0
33738; 99133.55;0
33789; 99132.73;0
33840; 99132.92;0
33891; 99132.48;0
33942; 99130.38;0
33993; 99130.28;0
34044; 99130.63;0
34095; 99129.14;0
34146; 99128.83;0
34197; 99127.27;0
34248; 99126.92;0
34299; 99126.97;0
34350; 99126.81;0
34401; 99126.53;0
34452; 99124.88;0
34503; 99124.31;0
34554; 99124.42;0
34605; 99122.72;0
34656; 99122.72;0
34707; 99121.98;0
34758; 99121.11;0
34809; 99121.64;0
34860; 99119.20;0
34911; 99118.70;0
34962; 99118.63;0
35013; 99118.58;0
35064; 99118.55;0
35115; 99116.00;0
35166; 99118.03;0
35217; 99117.69;0
35268; 99115.13;0
35319; 99114.13;0
35370; 99114.48;0
35421; 99113.45;0
35472; 99114.03;0
35523; 99112.97;0
35574; 99112.91;0
35625; 99111.98;0
35676; 99111.98;0
35727; 99110.53;0
35778; 99110.47;0
35829; 99110.03;0
35880; 99109.63;0
35931; 99108.61;0
35982; 99107.28;0
36033; 99107.22;0
36084; 99108.05;0
36135; 99106.03;0
36186; 99106.45;0
36237; 99105.47;0
36288; 99105.38;0
36339; 99105.31;0
36390; 99103.58;0
36441; 99104.33;0
36492; 99104.78;0
36543; 99101.70;0
36594; 99102.47;0
36645; 99101.89;0
36696; 99100.77;0
36747; 99100.53;0
36798; 99101.59;0
36849; 99099.98;0
36900; 99099.64;0
36951; 99099.39;0
37002; 99099.20;0
37053; 99099.34;0
37104; 99099.50;0
37155; 99098.06;0
37206; 99098.23;0
37257; 99098.53;0
37308; 99097.86;0
37359; 99098.30;0
37410; 99096.44;0
37461; 99096.84;0
37512; 99097.02;0
37563; 99095.53;0
37614; 99094.44;0
37665; 99096.95;0
37716; 99096.61;0
37767; 99096.58;0
37818; 99096.97;0
37869; 99096.36;0
37920; 99095.31;0
37971; 99094.20;0
38022; 99093.72;0
38073; 99094.92;0
38124; 99095.89;0
38175; 99095.53;0
38226; 99095.86;0
38277; 99094.73;0
38328; 99096.05;0
38379; 99095.56;0
38430; 99096.05;0
38481; 99095.14;0
38532; 99095.38;0
38583; 99095.44;0
38634; 99094.58;0
38685; 99094.59;0
38736; 99095.45;0
38787; 99095.44;0
38838; 99095.52;0
38889; 99095.61;0
38940; 99095.41;0
38991; 99096.23;0
39042; 99095.95;1
39093; 99094.77;1
39144; 99095.36;1
39195; 99096.70;1
39246; 99095.70;1
39297; 99095.80;1
39348; 99095.33;1
39399; 99094.58;1
39450; 99096.22;1
39501; 99095.17;1
39552; 99094.17;1
39603; 99094.45;1
39654; 99096.73;1
39705; 99095.30;1
39756; 99096.39;1
39807; 99095.11;1
39858; 99096.23;1
39909; 99096.05;1
39960; 99094.58;1
40011; 99095.09;1
40062; 99096.03;1
40113; 99095.69;1
40164; 99095.50;1
40215; 99094.19;1
40266; 99094.36;1
40317; 99095.91;1
40368; 99095.63;1
40419; 99096.47;1
40470; 99094.70;1
40521; 99097.20;1
40572; 99094.14;1
40623; 99095.67;1
40674; 99095.67;1
40725; 99095.88;1
40776; 99096.55;1
40827; 99094.16;1
40878; 99095.91;1
40929; 99095.41;1
40980; 99095.72;1
41031; 99095.28;1
41082; 99095.56;1
41133; 99095.73;1
41184; 99094.89;1
41235; 99093.94;1
41286; 99095.86;1
41337; 99095.95;1
41388; 99096.14;1
41439; 99095.13;1
41490; 99096.45;1
41541; 99096.47;1
41592; 99094.80;1
41643; 99095.91;1
41694; 99094.66;1
41745; 99094.89;1
41796; 99095.06;1
41847; 99095.33;1
41898; 99095.69;1
41949; 99096.59;1
42000; 99094.98;1
42051; 99094.38;1
42102; 99095.14;1
42153; 99095.38;1
42204; 99096.41;1
42255; 99095.19;1
42306; 99095.58;1
42357; 99095.95;1
42408; 99095.89;1
42459; 99095.47;1
42510; 99095.47;1
42561; 99096.66;1
42612; 99096.56;1
42663; 99095.53;1
42714; 99097.63;1
42765; 99096.44;1
42816; 99094.59;1
42867; 99096.33;1
42918; 99095.94;1
42969; 99095.56;1
43020; 99094.52;1
43071; 99094.97;1
43122; 99095.27;1
43173; 99097.28;1
43224; 99095.47;1
43275; 99096.91;1
43326; 99095.45;1
43377; 99096.02;1
43428; 99096.19;1
43479; 99096.11;1
43530; 99096.34;1
43581; 99096.28;1
43632; 99095.33;1
43683; 99095.86;1
43734; 99095.44;1
43785; 99096.34;1
43836; 99097.25;1
43887; 99096.06;0
43938; 99096.97;0
43989; 99096.08;0
44040; 99096.03;0
44091; 99095.34;0
44142; 99096.53;0
44193; 99095.11;0
44244; 99094.78;0
44295; 99096.84;0
44346; 99096.09;0
44397; 99095.28;0
44448; 99095.72;0
44499; 99096.30;0
44550; 99096.94;0
44601; 99095.17;0
44652; 99096.77;0
44703; 99095.41;0
44754; 99095.97;0
44805; 99096.25;0
44856; 99096.22;0
44907; 99095.56;0
44958; 99096.78;0
45009; 99097.48;0
45060; 99094.67;0
45111; 99095.67;0
45162; 99096.02;0
45213; 99096.64;0
45264; 99096.30;0
45315; 99096.61;0
45366; 99096.44;0
45417; 99096.42;0
45468; 99096.39;0
45519; 99097.16;0
45570; 99094.70;0
45621; 99095.45;0
45672; 99097.03;0
45723; 99096.34;0
45774; 99095.50;0
45825; 99094.34;0
45876; 99095.77;0
45927; 99095.59;0
45978; 99096.72;0
46029; 99097.36;0
46080; 99094.77;0
46131; 99096.73;0
46182; 99097.00;0
46233; 99095.56;0
46284; 99096.98;0
46335; 99095.19;0
46386; 99096.70;0
46437; 99097.20;0
46488; 99096.58;0
46539; 99096.67;0
46590; 99097.11;0
46641; 99095.91;0
46692; 99096.88;0
46743; 99096.25;0
46794; 99095.97;0
46845; 99094.88;0
46896; 99096.39;0
46947; 99096.44;0
46998; 99096.09;0
47049; 99096.45;0
47100; 99096.53;0
47151; 99096.13;0
47202; 99097.31;0
47253; 99095.42;0
47304; 99096.91;0
47355; 99096.73;0
47406; 99096.11;0
47457; 99096.28;0
47508; 99096.69;0
47559; 99096.47;0
47610; 99096.44;0
47661; 99096.00;0
47712; 99097.19;0
47763; 99096.34;0
47814; 99095.84;0
47865; 99096.84;0
47916; 99095.94;0
47967; 99095.98;0
48018; 99096.73;0
48069; 99094.89;0
48120; 99096.20;0
48171; 99096.17;0
48222; 99096.77;0
48273; 99095.09;0
48324; 99094.81;0
48375; 99095.44;0
48426; 99095.89;0
48477; 99095.52;0
48528; 99096.28;0
48579; 99097.22;0
48630; 99096.84;0
48681; 99094.98;0
48732; 99095.23;0
48783; 99096.02;0
48834; 99095.98;0
48885; 99096.84;0
48936; 99096.58;0
48987; 99096.45;0
49038; 99096.39;0
49089; 99095.66;0
49140; 99094.95;0
49191; 99095.59;0
49242; 99095.52;0
49293; 99095.92;0
49344; 99096.44;0
49395; 99096.41;0
49446; 99095.75;0
49497; 99096.08;0
49548; 99094.53;0
49599; 99094.52;0
49650; 99095.56;0
49701; 99095.70;0
49752; 99096.19;0
49803; 99095.66;0
49854; 99096.67;0
49905; 99095.28;0
49956; 99097.00;0
50007; 99096.16;0
50058; 99095.05;0
50109; 99095.66;0
50160; 99094.91;0
50211; 99095.61;0
50262; 99097.64;0
50313; 99097.17;0
50364; 99097.05;0
50415; 99096.61;0
50466; 99095.20;0
50517; 99095.31;0
50568; 99095.19;0
50619; 99095.97;0
50670; 99095.88;0
50721; 99096.08;0
50772; 99096.41;0
50823; 99096.69;0
50874; 99096.53;0
50925; 99096.66;0
50976; 99096.61;0
51027; 99095.28;0
51078; 99095.06;0
51129; 99095.17;0
51180; 99096.02;0
51231; 99096.44;0
51282; 99095.52;0
51333; 99095.33;0
51384; 99095.02;0
51435; 99095.95;0
51486; 99095.75;0
51537; 99096.38;0
51588; 99094.83;0
51639; 99095.75;0
51690; 99095.75;0
51741; 99096.45;0
51792; 99095.05;0
51843; 99095.98;0
51894; 99095.34;0
51945; 99094.50;0
51996; 99094.83;0
52047; 99094.14;0
52098; 99094.33;0
52149; 99096.39;0
52200; 99095.45;0
52251; 99095.22;0
52302; 99093.98;0
52353; 99094.80;0
52404; 99094.81;0
52455; 99095.59;0
52506; 99095.44;0
52557; 99094.28;0
52608; 99095.16;0
52659; 99096.31;0
52710; 99095.03;0
52761; 99096.48;0
52812; 99096.06;0
52863; 99095.84;0
52914; 99094.77;0
52965; 99095.94;0
53016; 99096.31;0
53067; 99095.52;0
53118; 99096.03;0
53169; 99095.64;0
53220; 99095.63;0
53271; 99095.69;0
53322; 99096.67;0
53373; 99096.31;0
53424; 99096.05;0
53475; 99096.30;0
53526; 99096.84;0
53577; 99096.64;0
53628; 99096.92;0
53679; 99097.89;0
53730; 99097.34;0
53781; 99097.00;0
53832; 99096.67;0
53883; 99097.41;0
53934; 99097.84;0
53985; 99097.95;0
54036; 99097.33;0
54087; 99098.36;0
54138; 99099.16;0
54189; 99098.63;0
54240; 99099.33;0
54291; 99097.03;0
54342; 99100.17;0
54393; 99099.94;0
54444; 99100.13;0
54495; 99100.56;0
54546; 99101.80;0
54597; 99101.53;0
54648; 99102.39;0
54699; 99103.61;0
54750; 99102.41;0
54801; 99104.64;0
54852; 99104.22;0
54903; 99105.19;0
54954; 99105.28;0
55005; 99106.11;0
55056; 99107.28;0
55107; 99106.69;0
55158; 99108.53;0
55209; 99109.42;0
55260; 99109.59;0
55311; 99110.16;0
55362; 99111.41;0
55413; 99110.77;0
55464; 99113.64;0
55515; 99112.50;0
55566; 99113.00;0
55617; 99114.91;0
55668; 99114.45;0
55719; 99114.77;0
55770; 99115.98;0
55821; 99118.44;0
55872; 99117.23;0
55923; 99119.17;0
55974; 99119.11;0
56025; 99119.23;0
56076; 99120.72;0
56127; 99121.48;0
56178; 99121.48;0
56229; 99121.38;0
56280; 99122.48;0
56331; 99123.45;0
56382; 99123.13;0
56433; 99124.09;0
56484; 99124.16;0
56535; 99124.36;0
56586; 99125.09;0
56637; 99125.58;0
56688; 99125.53;0
56739; 99125.64;0
56790; 99125.86;0
56841; 99127.67;0
56892; 99126.70;0
56943; 99127.97;0
56994; 99127.67;0
57045; 99127.77;0
57096; 99128.48;0
57147; 99129.08;0
57198; 99128.92;0
57249; 99126.92;0
57300; 99128.92;0
57351; 99129.33;0
57402; 99128.73;0
57453; 99127.92;0
57504; 99128.31;0
57555; 99128.67;0
57606; 99129.25;0
57657; 99128.84;0
57708; 99129.58;0
57759; 99128.25;0
57810; 99128.52;0
57861; 99128.73;0
57912; 99129.30;0
57963; 99128.30;0
58014; 99129.25;0
58065; 99127.77;0
58116; 99128.89;0
58167; 99127.53;0
58218; 99128.09;0
58269; 99129.66;0
58320; 99128.72;0
58371; 99128.09;1
58422; 99128.41;1
58473; 99128.69;1
58524; 99128.86;1
58575; 99128.13;1
58626; 99128.28;1
58677; 99128.28;1
58728; 99129.39;1
58779; 99129.56;1
58830; 99128.34;1
58881; 99128.91;1
58932; 99127.23;1
58983; 99128.81;1
59034; 99127.61;1
59085; 99129.61;1
59136; 99128.94;1
59187; 99127.28;1
59238; 99128.03;1
59289; 99128.39;1
59340; 99128.97;1
59391; 99128.55;1
59442; 99128.45;1
59493; 99127.39;1
59544; 99129.25;1
59595; 99129.77;1
59646; 99128.44;1
59697; 99128.09;1
59748; 99128.69;1
59799; 99128.34;1
59850; 99127.97;1
59901; 99129.23;1
59952; 99129.13;1
60003; 99128.28;1
60054; 99127.38;1
60105; 99130.09;1
60156; 99128.44;1
60207; 99128.52;1
60258; 99129.19;1
60309; 99128.95;1
60360; 99128.50;1
60411; 99128.83;1
60462; 99129.53;1
60513; 99127.31;1
60564; 99128.95;1
60615; 99128.42;1
60666; 99128.80;1
60717; 99128.72;1
60768; 99129.44;1
60819; 99128.92;1
60870; 99129.50;1
60921; 99128.75;1
60972; 99128.11;1
61023; 99127.91;1
61074; 99128.52;1
61125; 99128.73;1
61176; 99127.28;1
61227; 99128.75;1
61278; 99129.41;1
61329; 99128.33;1
61380; 99130.31;1
61431; 99129.30;1
61482; 99129.56;1
61533; 99128.70;1
61584; 99129.14;1
61635; 99129.44;1
61686; 99129.25;1
61737; 99129.27;1
61788; 99129.02;1
61839; 99129.88;1
61890; 99129.08;1
61941; 99128.20;1
61992; 99130.22;1
62043; 99129.55;1
62094; 99129.91;1
62145; 99129.17;1
62196; 99130.55;1
62247; 99129.94;1
62298; 99128.50;1
62349; 99130.05;1
62400; 99129.91;1
62451; 99128.83;1
62502; 99129.17;1
62553; 99128.69;1
62604; 99130.91;1
62655; 99129.41;1
62706; 99128.84;1
62757; 99130.13;1
62808; 99130.08;1
62859; 99128.64;1
62910; 99129.70;1
62961; 99129.61;1
63012; 99128.98;1
63063; 99130.23;1
63114; 99129.27;1
63165; 99130.13;1
63216; 99129.48;1
63267; 99131.03;1
63318; 99129.48;1
63369; 99130.83;1
63420; 99128.66;1
63471; 99129.73;1
63522; 99129.14;1
63573; 99129.22;1
63624; 99129.33;1
63675; 99130.39;1
63726; 99130.08;1
63777; 99129.13;1
63828; 99130.11;1
63879; 99129.89;1
63930; 99130.13;1
63981; 99129.97;1
64032; 99129.48;1
64083; 99128.77;1
64134; 99130.25;1
64185; 99129.78;1
64236; 99129.22;1
64287; 99128.48;1
64338; 99129.45;1
64389; 99131.00;1
64440; 99130.27;1
64491; 99129.38;1
64542; 99128.81;1
64593; 99129.66;1
64644; 99128.88;1
64695; 99129.92;1
64746; 99130.14;1
64797; 99129.31;0
64848; 99128.63;0
64899; 99129.78;0
64950; 99129.11;0
65001; 99128.61;0
65052; 99128.58;0
65103; 99128.50;0
65154; 99129.84;0
65205; 99129.69;0
65256; 99129.95;0
65307; 99129.41;0
65358; 99129.70;0
65409; 99128.78;0
65460; 99129.72;0
65511; 99129.63;0
65562; 99127.28;0
65613; 99131.14;0
65664; 99129.84;0
65715; 99130.17;0
65766; 99130.41;0
65817; 99129.84;0
65868; 99129.58;0
65919; 99129.94;0
65970; 99129.69;0
66021; 99129.78;0
66072; 99129.86;0
66123; 99129.41;0
66174; 99130.03;0
66225; 99129.34;0
66276; 99129.42;0
66327; 99130.23;0
66378; 99130.22;0
66429; 99129.78;0
66480; 99129.27;0
66531; 99129.33;0
66582; 99129.08;0
66633; 99130.33;0
66684; 99127.89;0
66735; 99128.66;0
66786; 99129.75;0
66837; 99128.97;0
66888; 99129.66;0
66939; 99129.91;0
66990; 99130.72;0
67041; 99128.73;0
67092; 99129.81;0
67143; 99129.25;0
67194; 99128.52;0
67245; 99128.75;0
67296; 99129.17;0
67347; 99128.80;0
67398; 99129.81;0
67449; 99127.59;0
67500; 99129.02;0
67551; 99129.11;0
67602; 99130.81;0
67653; 99128.47;0
67704; 99129.78;0
67755; 99129.00;0
67806; 99130.48;0
67857; 99128.30;0
67908; 99128.66;0
67959; 99128.48;0
68010; 99129.23;0
68061; 99130.20;0
68112; 99130.50;0
68163; 99128.41;0
68214; 99129.25;0
68265; 99129.27;0
68316; 99129.13;0
68367; 99128.02;0
68418; 99128.28;0
68469; 99128.25;0
68520; 99128.63;0
68571; 99128.42;0
68622; 99129.89;0
68673; 99129.17;0
68724; 99129.05;0
68775; 99129.25;0
68826; 99127.56;0
68877; 99128.77;0
68928; 99130.00;0
68979; 99128.53;0
69030; 99129.45;0
69081; 99129.11;0
69132; 99128.70;0
69183; 99128.80;0
69234; 99129.58;0
69285; 99128.83;0
69336; 99128.73;0
69387; 99128.78;0
69438; 99127.13;0
69489; 99128.67;0
69540; 99128.80;0
69591; 99129.25;0
69642; 99128.91;0
69693; 99129.84;0
69744; 99129.00;0
69795; 99128.77;0
69846; 99127.70;0
69897; 99129.19;0
69948; 99128.70;0
69999; 99129.06;0
70050; 99129.25;0
70101; 99127.14;0
70152; 99129.64;0
70203; 99130.02;0
70254; 99129.22;0
70305; 99129.05;0
70356; 99128.31;0
70407; 99128.63;0
70458; 99131.00;0
70509; 99128.88;0
70560; 99129.98;0
70611; 99129.02;0
70662; 99130.09;0
70713; 99127.81;0
70764; 99129.64;0
70815; 99129.44;0
